review,sentiment,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,pred_label
Needing help with holistic Lyme disease treatment - anyone?  ,NEGATIVE,,,,,,LABEL_0
Good morning twitter. I'm sooo tireddd. ,NEGATIVE,,,,,,LABEL_0
@OregonJen This whole post con blues things really sucks.  and others say it gets worse the more you go. ,NEGATIVE,,,,,,LABEL_0
"i am back, and i'm...jetlagged. ",POSITIVE,,,,,,LABEL_0
Can not believe it's 12 am and i'm still awake maybe its cuz of my upset tummy ,POSITIVE,,,,,,LABEL_0
@OweeW pfft no. live at home til im like 40  ill be a bum!!,NEGATIVE,,,,,,LABEL_0
"@christinebyer Thanks   If you're ever really looking for a pup, I know some great groups in town that have LOTS to choose from..",POSITIVE,,,,,,LABEL_0
Last little bit of packing before heading to #rsac. Tentatively planning to crash Bay Sec tonight ,NEGATIVE,,,,,,LABEL_0
@TimothyH2O boo! Just got your reply now  uhmm I have a short attention span too if that's what you mean w/ not remembering  haha,NEGATIVE,,,,,,LABEL_1
"Shit, fuck, fuck, shit, motherfucker!!! ",NEGATIVE,,,,,,LABEL_0
No Boundaries - Kris Allen. Love his version! ,POSITIVE,,,,,,LABEL_0
Awesome jam session form PhillyD: http://tinyurl.com/c9rak9 ,POSITIVE,,,,,,LABEL_0
School.    It's yucky outside ,POSITIVE,,,,,,LABEL_0
@teammartin I don't like sadfaces  Uni obviously does. *shakes fists*,NEGATIVE,,,,,,LABEL_0
"Just finished a really great game between Yankees and the rays,we suffer a loss though ",NEGATIVE,,,,,,LABEL_0
Getting readyw for school then a hard track practice ,NEGATIVE,,,,,,LABEL_0
I'm making breakfast egg muffins by the dozen.  Great for busy mornings!  They smell yummy ,POSITIVE,,,,,,LABEL_0
"@taylorswift13 please come back to GA, your concert with Keith Urban is already sold out, couldn't find tickets for me and boyfriend ",NEGATIVE,,,,,,LABEL_0
@lelandstrott haha So you're eventually going ? Congratulations !!! I guess I'll see you there ,POSITIVE,,,,,,LABEL_0
@amy_runner  @PatrickAvis  LOL - bring it on!!  ,POSITIVE,,,,,,LABEL_0
chipotle rebranded. they now have a pepper that doesn't look like poop. ,NEGATIVE,,,,,,LABEL_0
@clinicvoot its almost finished ,NEGATIVE,,,,,,LABEL_1
school...sucks...math quiz today thhat i did not study for! ,NEGATIVE,,,,,,LABEL_0
is now back to going public after selling Tammy  - http://tweet.sg,NEGATIVE,,,,,,LABEL_0
"Hey daniel and lauren!!!! Hi.  only four days of school, then, VEGAS BABY!!! ",POSITIVE,,,,,,LABEL_0
finally home from a long day driving  and has a headache ,NEGATIVE,,,,,,LABEL_0
:&lt; my mouse is not being shipped until the third ,NEGATIVE,,,,,,LABEL_0
@mochi_kuchi 11kg?  Mantan calon mertua yang baik. HUAHAHAHAHAHA...,NEGATIVE,,,,,,LABEL_0
some twat just reminded me that william beckett is in manchester and i can't meet him  haha xD,NEGATIVE,,,,,,LABEL_0
i really don't wanna go to school tmrw  but only 2 more weeks  i cant wait for summer!!!,NEGATIVE,,,,,,LABEL_0
@maireos I am lost. Please help me find a good home. ,NEGATIVE,,,,,,LABEL_0
we're finally off to Ox. to look for the blessed ring. couldn't face driving myself. bet it's not there ,NEGATIVE,,,,,,LABEL_0
"@mara_nerdgirl Yes, and I like not to think about it ",POSITIVE,,,,,,LABEL_0
@MCRmuffin you cant leave me ,NEGATIVE,,,,,,LABEL_0
@wimpykidhello hey Victoria Levin it Alexi reply me bck and follow me plz  (PS it real alexi!),POSITIVE,,,,,,LABEL_0
"@vettuh i knowww, i love london. shame ill be spending alot of my time in norwich  im planning to stay in london for a week or two",NEGATIVE,,,,,,LABEL_0
@RichardLaksana huh? DM to me? Pleaseeeeee anytime  how's work today?,NEGATIVE,,,,,,LABEL_0
Oh yes I have ,POSITIVE,,,,,,LABEL_0
* cant upload my pics as i don't have the adaptor for the camera ,NEGATIVE,,,,,,LABEL_0
misses him. yet he is just out having fun.. ,POSITIVE,,,,,,LABEL_0
im going na. BYEE. ,NEGATIVE,,,,,,LABEL_0
shiiit. bad decission. ,NEGATIVE,,,,,,LABEL_1
Being extra lazy.  Last day of our time off. ,NEGATIVE,,,,,,LABEL_0
