review,pred_label
can understand why many seem to hate this br br this movie ties together many of the overlapping settings of the historical and biblical epics of the fifties using set pieces props and costumes similar to those seen in other movies here however the story attempts to run through all of human history with frame story about the human race being on trial with guilty verdict meaning bombs will go off all over the world the prosecutor is the devil played with fiendish glee by vincent price ok so it little hokey calling the defender the spirit of all men but think that one of the things that gives this movie sense of period charm the spririt of man is incidentally played quite well by ronald coleman in his last film it is also the last movie in which groucho harpo and chico marx all appear but not together groucho plays peiter minuet buying manhattan from the indians in scene played purely for campy humor chico isn funny at all as monk who thinks the world is flat and harpo we are told is meant to be isaac newton discovering gravity most of the other performances are well done though br br other hokey things are that the trial is supposedly taking place in outer space which is depicted as region of clouds and blueness there is something called the great clock of outer space which when striking midnight may signal the end of the world br br but at its heart the movie addresses the problems of wmds and the eternal question of whether man is basically good or basically evil and poses it in what think is an interesting way also anyone who likes the look of costume epics of the fifties should like the look of this movie,1
here we go another pop star breaking in to the grand tv land and from my observations from her pop careers directors saying yeah your great gwen you could be real star maybe some day you ll be in the list movies they would do anything to expand the show there just not pretty face but have an acting ability as well almost overnight gwen has some how found the ability to act by watching actors like james dean or clint eastward please give the real people in the world that have to sit behind that box and have to suffer pop stars effort in trying to act please gwen stick to your pretty pop videos with your jap posse and don insult the british with your efforts as an actress anyway going back to my working class job and think to myself god could do that but yeah remember ll be working till 65 if live that long and yeah you put your feet up girl with your royalties every three months pah marry into money right xxx,0
the intention the directors has for this films are quite honorable but his history of his productions did get me aware that this might not get much to the core like other film makers would do it keeping his great 30 days tv series in mind but also counting in his mtv production bet you will that opposes his seriousness in any of the matters he documents and also counting in his rather disappointing production supersize me did not had my hopes up high sadly enough this movie disappointed me none the less as with supersize me after while did ask myself what exactly the point of all this was the main statement gets clear enough after half an hour but the rest of the playtime gets filled with rather pointless stuff and re repeating stuff that were already shown in this way or another earlier in the movie so it wears out and gets extremely boring towards the end,0
young warriors 1983 br br while this is deeply flawed and in some ways idiotic movie the way it continually defies expectations makes it decent viewing for the adventurous sleaze fan br br meet yuppie college student kevin and his gang of lovable frat boy buddies in what starts out as particularly egregious teen sex comedy we follow this bunch of jerk offs and their antics which involve among other things making pledges tie bricks to their genitals the movie abruptly shifts gears when kevin high school freshman sister is brutally raped and beaten into coma by gang of bikers who apparently have nothing better to do when she dies in the hospital kevin vows revenge much to the chagrin of his detective father br br so far we ve gone from porky lite through last house on the left territory into what is apparently shaping up to be your typical urban vigilante revenge flick however kevin and his gang portrayal goes from vaguely sympathetic until they become kill crazed lunatics it to the film credit that it glamorize the fascist anti crime rhetoric that kevin continually spouts while still making it understandable that he would feel the way he does br br the mood goes from lighthearted to grimy and downbeat very quickly and by the end it so over the top and exploitative that it ll leave you incredulous and that the strength of this film you never know what to expect next br br at over 100 minutes it little lengthy for this kind of fare but you won get bored poorly acted for the most part with cardboard cutouts for characters and some particularly ludicrous situations and rather stupid dialogue this won be topping anyone list of forgotten classics anytime soon got kick out of it though and sure anyone reading this knows if they re up for it,1
this movie is another on the list that did not want to see was talked into it and dragged into the theater but boy am glad for that thought it was going to be just another love story but it turns out to be sooo much more than that definatly an intellectual flick one of those movies you have to pay attention to,1
this movie is hilarious the laughs never stop every scene is packed to the limit with hilarious comedy chris farley is comic genius and spade plays his character to tee farley was one of the best slap stick comics ever and in this movie as with all his movies we see how much time and energy he devoted to portraying his character the way he saw fit tommy boy is an excellent example of comedy it always makes me laugh no matter how many times have seen it before,1
ah mcbain the character name is immortalized and forever ridiculed by the simpsons but it will also always to me personally at least remain the name and title of tremendously entertaining and outrageously violent early 90 action flick directed by the cool dude who brought us the exterminator and starring two of the most ultimately badass movie heroes christopher walken and michael ironside the latter with cute little macho ponytail guess mcbain will largely have to be labeled as guilty pleasure because there no way can convince anyone this is an intellectual motion picture the film is unimaginably preposterous most action heroes take on small gangster posse mcbain takes on an entire country and yet takes itself way too seriously the script is non stop and incoherent spitfire of clichéd situations nonsensical twists compulsory sentimental interludes grotesquely staged action sequences and utterly implausible character drawings it totally delirious movie loved it br br vietnam pow mcbain life is saved by fellow soldier roberto santos on the very last day of the war they each keep half dollar note as symbol that mcbain is in santos debt eighteen years later santos is spirited rebel leading the revolution against the corrupt president of his home country columbia santos initial attempt to take over the power fails and he publicly executed on el presidente balcony his sister travels to new york with the dollar note and turns to mcbain for financial assistance and manpower mcbain and his former vietnam buddies who all coincidentally happen to be fed up with the injustice in this world charter themselves miserable little plane and fly to columbia to open gigantic can of whoop ass br br okay let not fool each other here the fact you re reading user comment on mcbain already indicates that you have some sort of interest for low budget movie action one of my fellow reviewers spent quite some time composing list containing all the main stupidities and insensible moments of mcbain this list is totally accurate and can only concur with it heck could even add some more senseless sequences to that list like the preposterous and needless heroic self sacrifice of soldier who doesn even have any affinity with the goal of the mission and the rest of mcbain squad but what the point you definitely know not to expect 100 coherent and plausible masterpiece we know from beforehand this will be silly and exaggeratedly flamboyant movie and it maybe even the exact reason why we want to check it out this is terrifically outrageous and exciting movie about bunch of former vietnam buddies turning into mercenaries and declaring war against the corrupt columbian president and the national drug cartel please don expect another apocalypse now this particular motion picture relies on the ruff tuff acting performances of the macho leads whole lot of explosions and gunfights and last but not least fantastic soundtrack in which joan baez sings cover of brothers in arms,1
first saw this film in the mid 60 when was teenager and it moved me so much in fact the end scene where han suyin hears of mark death and then rushes to the hill in disbelief where you then hear mark voice saying give me your hand and then the image of him disappears the butterfly with it superstitious meaning the music the shattered emotions of love of han suyin just left me sobbing my heart out was outwardly crying bitterly my mother and sister looked up and were shocked at my reaction just left the room to be on my own fortunately do not react like that any more but always cry at the end love everything about the film the music mostly the costumes of han suyin and location the beauty of jennifer jones and the handsome william holden they were both at their best have the vhs and dvd of this wonderful movie also have two versions of the music lyrics by arthur newman and sammy fain also have the book many splendored thing by han suyin recommend this film 100,1
batman returns is to be considered quality when one speaks of superhero films its predecessor batman in my opinion is by far the greatest and most well thought out of the comic book genre for one to say that batman returns was disappointing he or she has not fully watched the movie and considered the acting of danny devito as the penguin devito and walken offer some memorable moments the tale of batman is suppose to be dark and tim burton has fulfilled how the comic portrays batman batman returns provides comic relief action suspense and fantasy and it should not be viewed as crap although we are all entitled to our own opinions,1
this night listener is better than people are generally saying it has weaknesses and it seems to be having genre identity crisis no doubt but think its creepy atmosphere and intriguing performances make up for this the whole thing feels like one of those fireside this happened to friend of friend of mine ghost stories one big complaint about the movie is the pacing but the slow and sometimes awkward pacing is deliberate everything that unfolds in this movie is kept well within the realm of possibility and real life just sort of plods along no so there are no flashy endings or earth shattering revelations no showdown scenes thank heaven you have to get into the zone when watching this movie forget your reservations and your expectations of what makes conventionally good movie williams isn terrific but he easily meets the needs of the story plus his character is supposed to be somewhat generic no one as he is the everyman the avatar by which we ourselves enter the story toni collette performance should be nominated for an oscar even if she maybe shouldn win it give it shot for quality and content alone the night listener is surely in the top twenty percent of movies coming out these days,1
like too many recent british films this one takes great cast and gives them flimsy cliched script to work with the performances save it from total disgrace and it has some charm but it certainly didn make me laugh where are all the great british writers hiding,0
this 1950 howler is so bad it unintentionally funny tom conway portrays dr gerard scientist who is turning natives into monster using voodoo his poor wife played by mary ellen kay is being held captive by her wacko hubby who has no time for her but threatens to kill her if she leaves him along comes marla english as greedy murderess who has already killed man to find treasure in the jungle her idiot boyfriend portrayed by lance fuller is along on the safari they hire touch connors later renamed mike connors of mannix fame as guide english is terrible actress but hey no one else in the cast were turning in academy award winning performances either touch sorry can even type the name without cracking up mean what the gave the only half way decent performance of the bunch and that saying lot the monster is only seen briefly and the ending is predictable to say the least would say this movie falls into the it so bad it almost good category of movies it good on rainy night when nothing else is on the tube,0
this is one of the greatest documentaries ve ever seen along with dark days have skated for maybe an hour my entire life and still love this movie peralta and his excellent editor captured the feeling and atmosphere perfectly helped in part with some incredible archival footage tony alva is one of the coolest individuals in existence love those knee high striped sport socks you rock tony br br not only is this movie visual feast but the soundtrack has to be one of the best in history if you re into 70 rock buy the dvd you won regret it,1
luchino visconti was and is one of the most influential cultural figures of his generation but adam low the director of this thing allows the stronger voice to be helmut berger how can it be what missed opportunity we come out of this ordeal knowing less of what made the master great and more about the things one shouldn care at all the beautiful images belong to visconti world the embarrassing interviews to the likes of berger and zeffirelli to adam low tiny little world must to avoid,0
ok italian but there aren so many italian film like this think that the plot is very good for 3 4 of the film but the final is too simple too predictable but it the only little mistake the consequences of love in my opinion have great sequences in particular at the beginning and great soundtrack like very much the lighting work on it the best thing on it is great great actor you know if your name were al pacino now everybody would have still been talking about this performance but it only great theater italian actor called toni servillo yes someone tell me this film and this kind of performance it too slow it so boring so many silences but think that this components its fantastic its the right way for describing the love story between very talented young girl the grand daughter of the italian actress anna magnani olivia and the old mysterious man toni one of my favorite italian films,1
was in my early 20 just graduating from college when this movie appeared seeing it was event of great impact not only because of the high quality of the film as evidenced by its many awards but because of its place in the historical context of 1959 because of social progress since then it is nearly impossible to fathom that my college had only begun admitting carefully screened black students in 1953 mainstream high budget extravaganze with an almost entirely black cast was distinct novelty in 1959 br br the movie was given deluxe roadshow reserved seat presentation in only the best theatres complete with souvenir program detailing the lavish care that had been taken with lighting and color multi track stereo sound etc almost every black entertainer that we white people had any knowledge of was in the movie gershwin music superbly performed and the sheer universal humanity of the story was tremendously moving br br was recently able to obtain faded copy of two hour cutting of the film and repeated viewings have confirmed my opinion time has made what seemed steamy sex scenes in 1959 seem quite tame but the musical quality has not diminished sammy davis and pearl bailey are masterful in their portrayals what crime that the young black artists of today are unable to see these performers at the peak of their careers,1
the john goodman program was pretty awful but this thing just plain stinks the one and only thing in this mess that made me smile was recognizing the voice of patrick starfish as frosty the story is hopeless written by somebody who has garbled memories of childhood rebelliousness but has never gained any adult sense of perspective in the intervening years paranoia rules the dark world that these characters inhabit everybody is unpleasant and for no reason the plot is predictable but the show lurches from one inexplicable unconnected scene to another in such pointless way there is no fun in watching it the worst thing is nobody in the production crew seems to have ever seen snow,0
the first time saw this film wanted to like it for so many reasons but simply did not it just seemed little dull but there was tiny question had about something saw near the beginning of the film so watched it again and then finally it clicked for me first watched the movie knowing the surprise ending and while definitely wouldn recommend having the ending spoiled for you have still thoroughly enjoyed the bulk of the film and discovering the many seemingly insignificant events that all unravel to point to very sinister scheme br br don think that everyone will love this movie or even like it if you like any of the actors you ll like this movie because the acting is fairly strong and they all get lot of screen time if you like mysteries namely hitchcock you ll like this movie if you like independent or psychological films you ll like this movie it really worked for me on all of those levels if you don like the actors mysterious plots or psychological elements you might not like this movie but that your loss personally the only thing that irked me little was the accents good try alan rickman on the american dialect but it wasn much improvement from the scene in die hard the wonderful voice makes up for the weird accent though the medley of accents in the movie was little odd but it was not so distracting that it became difficult or particularly irritating also the camera change from scene to scene was evident and might bother some people but actually think it added to the scenes or scene can really only recall one scene where the change was severely different but it worked br br when you see this movie see it at least twice the second time you see it hope you realize how intricate the plot really is every time watch this movie it under an hour and half so multiple viewings are not difficult seem to notice something else about it and find myself wondering why did that just happen or was that intentional like movies that make me think this one does so just see it twice,1
an epic story of hope constrained by budget and limited artistic ambition seeing as terrence malick produced this expected something haunting and lyrical instead we get typical norwegian co production revolution with al pacino anyone where quite possibly good intentions are scuppered by dreadful screenplay and where many of the characters are reduced to stereotypes the me tarzan you jane english dialogue between the non english speaking protagonists is particularly cringeworthy one could speculate whether nick nolte and tim roth ad libbed their own as they almost sound like real people the story is loaded with implausibility we are expected to believe that binh can speak smattering of english after having spent his entire life living as peasant slave his vocabulary but unfortunately not grammatical command increases impressively in the malayan refugee camp without the benefit of night classes coincidence is rife wonder whether an hour or two has been edited from the first third he tracks down his mother in ho chi minh city almost immediately after bumping into his thirty year younger half brother who nonchalantly recognises him mum gives him gold locket or something similar of great value as they part but this is never referred to again his relationship with me dead inside ling is supposed to provide the obligatory love interest but feels as artificial as leonardo and cameron in gangs of new york br br the voyage in the rust bucket of boat does convey sense of the appalling conditions that human trafficking entails indeed the only time the film is remotely exciting and unpredictable is the jerky hand held footage shot from the bridge during choppy weather conditions incidentally boat cruise from malaysia to new york via the cape of good hope and the african coast without stopping for fuel or supplies is certainly an epic journey the beautiful shot of the new york skyline echoes malick use of magic hour but want to know why the coast guard didn show up perhaps they were watching the super bowl or something of course binh manages to track down his blind old dad on remote farm in texas with the same navigational flair he displayed in ho chi minh city was impressed at how nick nolte could wander around digging fields and feeding horses on large ranch without the aid of guide dog or white stick for demonstration of how story about the travails befalling refugees could be structured and shot on small budget check out michael winterbottom far superior in this world,0
jesse yet again delivers after almost 12 months of hype about his upcoming production it finally reaches the dark world of the internet with more than brilliant approach to amateur film making br br dbp is original nail biting commentary on troubled child growing into an even more troubled adult if had more than two thumbs would give more but think two will be enough br br great work from all cast especially by marissa and elizabeth the character of emily as an adult has given me shivers so far and afraid of where she ll go next br br an excellent watch,1
have three comments to make about this film which discovered hanging out forlornly in lower shelf at blockbuster first off it is interesting to see the approaches film makers take in trying to film essentially unfilmable works some have as kubrick did with lolita gotten the original author to write screenplay that is something like the original work of course that can happen here kraft ebing is long dead some have used the premises of the original work as launch point to go in completely new unrelated direction the recent adaptation of tristram shandy comes to mind here you can dumb it down the film of slaughterhouse five is to my mind an example of that or you can simply take the format of the original and try to render it in cinematic vignettes that would be the approach of woody allen everything you wanted to know about sex and arguably this film upon consideration it is probably the only thing one can do with scholarly work like psychopathia sexualis the potential loss is that whatever cumulative point the original work had is obscured or destroyed and so it is here br br point two is the cinematic style some would call it an homage to murnau pabst carl dreyer etc but think it more crude than that its far too heavy handed and self conscious to be effective for long it is eventually just annoying br br point three is perhaps less intellectual observation how did the people responsible for this manage to make film about wild sexual deviations and perversion that is so incredibly boring found the film impossible to pay attention to and anyone who is not automatically drawn to depictions of sexual deviance will find it so as well don want to be completely uncharitable and say the film is pointless but have to say that whatever point the film makers had is rather obscured by the nature of the source material the overt copying of filmic styles and the stubborn refusal to engage the audience on an emotional level possibly for fear of being accused of titillation br br the film is dubious exercise from the start and doesn really work for me sorry to say,0
you can help but marvel at hitchcock early work saboteur for example is so slick and quick that it hard to believe he made this film over 60 years ago there some propaganda elements but they re woven into the mystery so well that the thing plays beautifully years later you also get some previews of stuff that hitchcock would do later like using national landmark as backdrop this time it the statue of liberty in north by northwest of course it mt rushmore you ll also recognize things that pop up later in rear window and vertigo in saboteur but let not give away the show robert cummings is excellent as is the oh so charming otto kruger look for hitchcock mini western in this one it happens quickly so don blink,1
utter dreck got to the 16 minute 27 second point and gave up have given it negative number review if that were possible although pissible is more fitting word unlike the sizzle you could see and practically feel between macmurray and stanwyck in the original the chemistry between dumb ol dicky crenna and whats her face here is just non existent the anklet becomes an unattractive chunky bracelet there no ciggy lighting by fingertip and thought be sick when they have mortified looking and rightly so believe you me lee cobb as keyes practically burping upchucking his way through the explanation of his little man to mr garloupis no offence to the non sighted but it looks as though posse of blind men ran amuck with the set design of both the dietrichson and neff houses the same goes for those horrid plaid pants that phyllis wears and crikey how much does neff make that he lives overlooking huge marina this folks again all takes place in the first 16 and half minutes if you can get through more of it you have much stronger constitution than me or you are masochist but please take some alka seltzer first or you will develop little man of your own that may never go away proceed with caution obviously,0
there are lot of people that put down on these type 80 movies but those people may not have been coming of age during this time was just starting college when this movie was released so could really appreciate it at the time and my friends and still to this day will occasionally joke about certain lines in the movie as much as liked sean penn character jeff spicoli in fast times actually enjoy chris penn character tommy more because he is the lead character with more of actual speaking roll opposed to just series of one liners such as with spicoli chris penn should probably pop this film in his vcr and use it for motivation to lose some weight yes the subplot with the randy quaid vietnam vet character does seem little out of place but he does convincing job in the role if there is anyone out there that seen this movie but liked the other similar type movies such as fast times etc highly recommend it,1
what can you say about short little film filled with secondary actors and no stars with absolutely no bad performances not one poorly delivered line of dialog and with the cold violence on one hand being balanced by the warm heart of the protagonists in the story br br it jewel diamond little valuable gem of western that evokes the spirit and legend of the american west west not settled by grand heroes like hickock or cody or masterson or earp but by the spread of the everyday man and woman farmers and ranch hands merchants and miners and lumbermen whores and barkeeps and entertainers of the day some looking for riches some for peace and quiet some for religious freedom br br it is perhaps very spiritual story though not promoting any particular religion for even the non mormon cowboys portrayed by ben johnson and harry carey jr act in kind and noble ways toward everybody in the story regardless of religious affiliation and beliefs and go out of their way to promote tolerance and charity when the wagon train comes upon the stranded medicine show people and in true biblical fashion like david and goliath or samson and the philistines they are the guardian angels sent to the wagon train who eventually have to go head to head with the evil incarnate clegg clan likening them to the serpent in the garden of eden and regretting what it is they have to do afterward it sweet folkloric tale of the west that hits every target john ford takes aim at br br nowadays have western santa claus whose red outfit is covered with denim drover coat whose red stocking cap is replaced by brown stetson who carries burlap bag of presents and coil of rope to my santa added winchester rifle with sling to put on one of his shoulders and colt revolver to tuck into his waistband when people at the office ask why my santa has to carry guns simply reply snakes after all isn the spirit of the christmas season one where everybody should get what they deserve br br fifty five years later especially post 911 the philosophies and attributes demonstrated by the characters and story of this movie are still as relevant today as they were back then,1
saw this series when was kid and loved the detail it went into and never forgot it finally purchased the dvd collection and its just how remembered this is just how doco should be unbiased and factual the film footage is unbelievable and the interviews are fantastic the only other series that have found equal to this is die deutschen panzer br br only wish hollywood would sit down and watch this series then they might make some great war movies br br note band of brothers saving private ryan letters from iwo jima flags of our fathers and when trumpets fade are some recommend,1
